[2008-07-27 21:00][INFO]: Joing Successfully Initialized.
[2008-07-27 21:00][INFO]: Main Thread Id is 1
[2008-07-27 21:00][DEBUG_JVMM]: Thread main (1) is running the Main Loop.
[2008-07-27 21:00][DEBUG_CACHE]: Cache Miss, key=1
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:00][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:02][INFO]: Joing Successfully Initialized.
[2008-07-27 21:02][INFO]: Main Thread Id is 1
[2008-07-27 21:02][DEBUG_JVMM]: Thread main (1) is running the Main Loop.
[2008-07-27 21:02][DEBUG_CACHE]: Cache Miss, key=1
[2008-07-27 21:02][DEBUG_CACHE]: Cache Store, key=1, executable=PDE.jar
[2008-07-27 21:02][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:02][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:02][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:02][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:02][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:02][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:02][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:02][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:02][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:02][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:02][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:02][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:02][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:02][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:02][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:02][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:02][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:02][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:02][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:02][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:02][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:02][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:02][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:02][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:02][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:02][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:02][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:02][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:02][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:02][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:02][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:02][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:02][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:02][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:02][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:02][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:02][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 21:02][DEBUG_CACHE]: Cache Hit, appId=1, executable=PDE.jar
[2008-07-27 22:04][INFO]: Joing Successfully Initialized.
[2008-07-27 22:04][INFO]: Main Thread Id is 1
[2008-07-27 22:04][DEBUG_JVMM]: Thread main (1) is running the Main Loop.
[2008-07-27 22:05][INFO]: Terminated, bad username/password.
[2008-07-27 22:05][INFO]: Joing Successfully Initialized.
[2008-07-27 22:05][INFO]: Main Thread Id is 1
[2008-07-27 22:05][DEBUG_JVMM]: Thread main (1) is running the Main Loop.
